club,id,createdAt,favorites,retweets,text
Narendra Modi,1599002327075078147,2022-12-03 11:27:17+00:00,23062,5265,"Over the last few days, I’ve travelled across the length and breadth of Gujarat. Wherever I went, I have received tremendous affection. People have seen the development in the last two decades and want this trajectory to continue. https://t.co/qs7Z3a7Z5e"
Narendra Modi,1599002006445649921,2022-12-03 11:26:01+00:00,11180,3209,છેલ્લા કેટલાક દિવસોમાં મેં સમગ્ર ગુજરાતનો પ્રવાસ કર્યો. હું જ્યાં જયાં ગયો ત્યાં મને જનતા જનાર્દનનો અપાર સ્નેહ મળ્યો. ગુજરાતના લોકો છેલ્લા બે દાયકામાં રાજ્યએ કરેલી પ્રગતિના સાક્ષી છે અને તેઓ ઈચ્છે છે કે આ વિકાસયાત્રા અવિરત ચાલુ રહે. https://t.co/0z410jyW8y
Narendra Modi,1598933415348568066,2022-12-03 06:53:27+00:00,26183,6311,भारतामृत सर्वस्वं विष्णोर्वक्त्राद्विनिः सृतम्। गीता गंगोदकं पीत्वा पुनर्जन्म न विद्यते।।  सभी देशवासियों को गीता जयंती की अनंत शुभकामनाएं। श्रीमद्भगवद्गीता सदियों से मानवता का मार्गदर्शन करती आई है। अध्यात्म और जीवन-दर्शन से जुड़ा यह महान ग्रंथ हर युग में पथ प्रदर्शक बना रहेगा।
Narendra Modi,1598879733374414848,2022-12-03 03:20:08+00:00,23229,3961,"Remembering Dr. Rajendra Prasad Ji on his birth anniversary. A legendary leader, he epitomised courage and scholarly zeal. He was firmly rooted in India’s culture and also had a futuristic vision for India’s growth."
Narendra Modi,1598879124160122881,2022-12-03 03:17:43+00:00,14764,3227,"On International Day of Persons with Disabilities, I laud the fortitude and accomplishments of our Divyang sisters and brothers. Our Government has undertaken numerous initiatives which have created opportunities for persons with disabilities and enabled them to shine."
Narendra Modi,1598714938318794752,2022-12-02 16:25:18+00:00,81198,8420,Prayed at the Nagardevi Maa Bhadrakali Mandir in Ahmedabad. https://t.co/HDcVnA34XV
Narendra Modi,1598712383739789312,2022-12-02 16:15:09+00:00,7514,2238,કોંગ્રેસ સરકારોની અણઘડ નીતિના કારણે અને શુદ્ધ નિયતના અભાવે દેશમાં અમીરી અને ગરીબી વચ્ચેની ખાઈ ખૂબ પહોળી થઈ ગઈ. ભાજપ સરકારે લોકાભિમુખ વહિવટ આપી ગરીબો અને વંચિતોના જીવન ધોરણમાં સુધારો કર્યો છે….. https://t.co/vIHXXvyp6Q
Narendra Modi,1598705838591741953,2022-12-02 15:49:09+00:00,22303,4896,"Unparalleled affection, which strengthens my resolve to serve the people even more!   Highlights from Ahmedabad a short while ago. https://t.co/OvAhA3Dgs2"
Narendra Modi,1598705311912644608,2022-12-02 15:47:03+00:00,5993,2016,આણંદ એ પ્રેરણાભૂમિ છે…આણંદ એ સંકલ્પોની ભૂમિ છે….આ ભૂમિ એ “એક ભારત - શ્રેષ્ઠ ભારત” ના પ્રણેતા સરદાર પટેલની ભૂમિ છે. હું ગૌરવ અનુભવું છું કે વિશ્વની સૌથી ઊંચી પ્રતિમા “સ્ટેચ્યુ ઓફ યુનિટી”નું નિર્માણ કરાવી સરદાર સાહેબને સ્મરણાંજલિ આપવાનું સૌભાગ્ય મને પ્રાપ્ત થયું છે. https://t.co/b4Xi3cAY2t
Narendra Modi,1598704909313900544,2022-12-02 15:45:27+00:00,6354,1840,બે દાયકાની કઠોર તપશ્ચર્યા અને એની ફલશ્રુતિના કારણે ભારતીય જનતા પાર્ટી એ ભરોસાનું પ્રતિક બની ગઈ છે. ભાજપ એટલે ભરોસો….અને ભરોસો એટલે ભાજપ….. https://t.co/sN8MmTSMXU
